ano,capital,codigo_conta,conta,empenhado,pago,taxa_execucao
2024,Maceió,10.302,10.302 - Assistência Hospitalar e Ambulatorial,765239820.97,739098739.88,0.9658393612385928
2024,Maceió,10.301,10.301 - Atenção Básica,350505096.86,346872424.92,0.9896358941066955
2024,Maceió,12.361,12.361 - Ensino Fundamental,299333033.05,291273033.05,0.9730734696472552
2024,Maceió,12.122,12.122 - Administração Geral,235354744.17,193550273.99,0.8223767686203766
2024,Maceió,12.368,12.368 - Educação Básica,204227314.23,141609400.11,0.6933910904323016
2024,Maceió,10.122,10.122 - Administração Geral,78133279.68,77189022.44,0.987914788117595
2024,Maceió,10.305,10.305 - Vigilância Epidemiológica,69644671.31,68567166.7,0.9845285419583094
2024,Maceió,12.365,12.365 - Educação Infantil,51985617.1,50237143.03,0.9663661957376284
2024,Maceió,10.303,10.303 - Suporte Profilático e Terapêutico,25039098.96,22785057.9,0.9099791464700533
2024,Maceió,10.304,10.304 - Vigilância Sanitária,8211355.92,8141131.48,0.9914478874519423
2024,Maceió,12.367,12.367 - Educação Especial,3440711.17,3440711.17,1.0
2024,Maceió,12.366,12.366 - Educação de Jovens e Adultos,1239541.75,1239541.75,1.0
2024,Maceió,10.306,10.306 - Alimentação e Nutrição,77650.98,77650.98,1.0
